text,category
Arriving at Google party at #SXSW. Small queue. 1986 here we come. Wittingly some of our group weren't born then. {link},Neutral emotion
80s band at google/ACLU 1986 party rocks  #SXSW  {link},Positive emotion
"Hoping that it will be easier to get an iPad 2 today, since 50% of the target audience is busy at #sxsw #awesometiming",Positive emotion
A free heat map app of 4sq check-ins at #SXSW see @mention Hot Spots @mention SXSW. Now on WP7 &amp; iPhone #wedig,Neutral emotion
Google heat map for global searches. #SXSW #Hotpot {link},Neutral emotion
"Oh, is that my excuse:? RT @mention RT @mention at #sxsw: &quot;apple comes up with cool technology ... because they don't go to conferences&quot;",Positive emotion
"Did... what my mom might call The Big at #SXSW. Power plant, CNN, Google, and offchain set by Trombone Shorty at PBS. So sad missed Rye Rey",Neutral emotion
Wonder what percentage of #SXSW interactive participants have an iPhone. It's gotta be high,Positive emotion
Hungover At SXSW? Use Zaarly To Get Your Gatorade And Advil {link} #BillLee #HTML #iPhone #SXSW,Neutral emotion
@mention at Team Android party. @mention @mention just walked in. DL Appolicious app &amp; enter to win free Nexus S! #androidsxsw #sxsw,Positive emotion
Geek out at the #sxsw interactive panels with this iPad Holler Gram app. Use your iPad to display messages to others. {link},Positive emotion
"The line at the #sxsw Apple Popup Store was shorter than the line at the Starbucks across the street. So, I really had no choiceÛ_",Neutral emotion
The line at the #sxsw pop-up Apple store is already around the block.  5 hrs b4 ipad2 goes on sale. {link},Neutral emotion
"The line at the apple store goes around the block. Oh, that's right, iPad 2! Also, #sxsw.",Positive emotion
The band at the Google party is the most entertaining band I have ever seen #sxsw,Positive emotion
"Blackout at the hotel. In true #SXSW form, showering by the light of my iPad.",Neutral emotion
The line at the popup Apple Store is phenomenal. #sxsw #apple #ipad2  {link},Positive emotion
"Standing at the top of the steps (right side coming out onto patio). Come and say, &quot;What's up, Android?&quot; #TeamAndroid #sxsw",Neutral emotion
Wonder what they'll have up their sleeves RT @mention #Google Launch New #Social #Network Called #Circles {link} #sxsw,Neutral emotion
"VentureBeat: RT @mention On its second day in business, the Apple pop-up store appears to be trending. #sxsw #vb (@mention  {link}",Positive emotion
thats great! RT @mention Official #SXSW IPhone/iPad/iOS meetup is almost all employers looking for developers. {link},Neutral emotion
÷¼ WHO? WHAT? WHERE? WHEN? WHY? ÷_ {link} ã_ #edchat #musedchat #sxsw #sxswi #classical #newTwitter,Neutral emotion
bout to watch the @mention live at #SXSW Apple Store for iPad 2 w/ @mention and @mention Living vicariously through all those that buy one.,Positive emotion
Another late start at #sxsw #sxswi damn you google and your rocking 80's party,Positive emotion
The Spasmatics are rockin' it at the ACLU / Google party. #sxsw,Positive emotion
Why has latin America not produced the next @mention or @mention ? #Latism #latam #sxsw,Neutral emotion
"Great location choice, and nice timing for iPad2 launch: #Apple, #HP 'popping' in for #SXSW {link}",Positive emotion
Congratulation! RT @mention Yes! Gowalla wins best Andoid app at the Team Android Choice Awards. Thanks all! #sxsw,Positive emotion
@mention atleast you are at #sxsw. I'm not there AND I have no Ipad. #doubleloser,Neutral emotion
"William Patry, google, says most authors dont care about copyright, they care about income. #sxsw but what models?",Neutral emotion
No way!'Matt fricking Damon at Google party at Maggie mae's. #Sxsw @mention {link},Neutral emotion
#iPhone battery doesn't last long under #sxsw usage,Negative emotion
"We're creatures of habit. Google found that CTRs for blue links far outpaced green. The darker the link, the more clicks it got. #sxsw",Neutral emotion
"No way! #atx #sxsw RT @mention Just found out the Apple pop-up store is scheduled to close on Sunday, let's hope it is only a rumor!",Neutral emotion
"#CNN to launch &quot;TV everywhere&quot; service for mobile, Google TV &amp; computers: {link} by @mention  #SXSW #google",Neutral emotion
We just launched our iPad app at #SXSW! Get all the details + the first edition FREE: {link},Neutral emotion
We just launched SPIN's iPad app at #SXSW. Tons of #music #photos #videos and more! Whatcha think? {link},Positive emotion
"HeyWire launches group chat with Facebook, Google and Twitter #sxsw {link}",Neutral emotion
#Google launching a &quot;major&quot; new social network at #sxsw,Neutral emotion
#Google launching a &quot;major&quot; new social network at #sxsw ... Wonder what that can be...,Neutral emotion
"Ran the gauntlet to get a seat in ipad design talk, expect it'll be overflowing #sxsw",Neutral emotion
"5th Ave, Austin #sxsw #ipad2 lines. {link}",Neutral emotion
You #GDGTAustin attendees are havin FUN! Happy #SXSW! Stop by on your way out. Last chance to win an iPad 2!,Neutral emotion
"Going to Austin for #SXSW? The @mention Austin guide for #iPhone is free from Mar 9-15, {link} #lp",Neutral emotion
Austinjs autocorrects to Sisyphus on the iPhone. Just sayin'. #sxsw,Neutral emotion
"I don't have a television, but still have a two-screen expierence: iPhone and iPad. #psych #SXSW",Positive emotion
&quot;I have my iPhone and @mention - Paul Reubens #sxsw,Neutral emotion
"The ppl have spoken &quot;great #SXSW session w/ Bing, Google and Danny Sullivan. Bring it back next year with a LARGER room!&quot;: #qagb #sxswi",Positive emotion
"Anyone leaving #sxsw with an iPhone/iPad and time to kill in airports or on flights, download Tiny Wings. You're welcome, and I'm sorry.",Positive emotion
#Google Saving Drivers Time and Fuel {link} #seo #sem #googlemaps #mobile #topnews #sxsw,Positive emotion
Matthew Davis/Designing for iPad- &quot;the web has been like a strip mall of content...&quot; #sxsw,Positive emotion
Think I saw @mention or a lookalike in line for iPad 2 @mention Apple pop-up shop at #SXSW. He's got an awesome (&amp; very profitable) YouTube channel,Neutral emotion
iPad giveaway for using @mention at #sxsw {link},Positive emotion
"Stepping away from the computer, leaving my iPhone in the den.  #disconnectedSundays  #booya.  Have a good avro #SXSW",Neutral emotion
Win this awesome iPad from QuiBids and custom @mention case if we catch you at #SXSW wearing an openbeta VIP badge!,Positive emotion
@mention awesome. I traded in #sxsw last year for the iPad 1.,Positive emotion
"RT haha, awesomely rad iPad app by @mention {link} #hollergram #sxsw (via @mention",Positive emotion
"RT haha, awesomely rad iPad app by @mention {link} #hollergram #sxsw (via @mention @mention",Positive emotion
Piece of awesomeness: Arduino + android = Flaming skulls  {link} @mention @mention #sxsw #smartthings,Positive emotion
#sxsw today = @mention &amp; his iphone game and @mention &amp; @mention More and more a celeb/brand destination. #marketing,Neutral emotion
"Dude, I may actually buy an iPad 2 tomorrow. Apple will have a temporary store in downtown Austin for #SXSW! {link}",Positive emotion
Giving away an iPad 2 at this panel. Wish me luck! #sxsw,Positive emotion
Giving away an iPad to sharers who invite the most friends to join AOS this #SXSW @mention The Ginger Man {link},Positive emotion
"Giving away Apple gift cards in exchange 4 serious style. Find us on 6th or by the conv cntr. U look hot, we'll do the rest. #SXSW fashion",Positive emotion
"Android may be gaining market share, but you'd never know it at #sxsw. Apparently our industry movers and shakers are Apple loyalists.",Positive emotion
"Have to say, pretty smart timing for #Apple to drop the #ipad2 right on top of #SXSW. it's nearly all that anyones talking about.",Positive emotion
"Have to say, when I heard &quot;pop up Apple store&quot; I pictured something more along the lines of a inflatable bouncy castle. #SXSW",Neutral emotion
Marissa Mayer @mention : Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link} #sxsw via @mention,Neutral emotion
Marissa Mayer @mention future: not AR but &quot;contextual discovery&quot;-- image+location+personalized context+recommendations #SXSW,Neutral emotion
"Marissa Mayer #sxsw Google &quot;making smart phones smarter&quot; &amp; life more efficient: knowing your sched --&gt; suggest flights, maps, weather &amp; more",Positive emotion
"Marissa Mayer at #SXSW: 150 M users of Google Maps for mobile. For 1st time ever, an app born for web has more use as a mobile app.",Neutral emotion
Marissa Mayer at #sxsw: 150 Million people use Google Maps on mobile devices. That's up 50% since Aug 2010 - {link} #in,Neutral emotion
Marissa Mayer demonstrating the google art project. Take a museum tour  without leaving home. Art for the masses. #sxsw,Neutral emotion
Marissa Mayer from @mention &quot;mobile is a cursor&quot; #SXSW ... Demo of next gen google maps is really impressive btw,Positive emotion
Marissa Mayer of Google speaking at #SXSW mobile phone usage of google maps surpassed online use in the past couple months,Positive emotion
Melissa Mayer of Google says credit card companies can predict a divorce with 98% accuracy based on spending patterns alone. #SXSW #guardian,Neutral emotion
Merissa Mayer of Google - study of mail-order purchases led to 98% accuracy in predicting divorces two years in advance. #SXSW,Neutral emotion
Marissa Mayer rechristening augmented reality as &quot;contextual discovery at #sxsw #sxswi #google #tcs_dw,Neutral emotion
"Marissa Mayer talks the future of Google maps and discusses Hotpot, its answer to location-based ratings and recommendations #SXSW -KEK",Positive emotion
Marissa Mayer-taking phone location data from a ski hill and laying the elapsed movement of skiiers onto Google maps. #sxsw,Neutral emotion
"Marissa Mayer, Google, says 40% of Google Maps usage is local. Google Maps has more than 150m users a day. #sxsw",Neutral emotion
"Marissa Mayer, VP Consumer Products for Google, doing great job at #SXSW. Audience has tons of respect for what Google is doing w/ location.",Positive emotion
"Marissa Mayer, VP of Search at Google is on live from #sxsw in just a few moments {link}",Neutral emotion
"Marissa Mayer: &quot;Our focus is on location based services.&quot; Demoed Hotpot, Google Maps, vector maps, augmented reality. #sxsw #webvisions",Positive emotion
Marissa Mayer: #Google wil connect the digital &amp; physical worlds through mobile  {link}  #SXSW,Positive emotion
Marissa Mayer: #Google Will Connect the #Digital &amp; Physical Worlds Through #Mobile {link} #SXSW,Neutral emotion
Marissa Mayer: #Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link} #SXSW #SXSWi,Neutral emotion
Marissa Mayer: 40% Of Google Maps Usage Is Mobile (And There Are 150 Million Mobile Users) {link} #google #SXSW #TC,Neutral emotion
Marissa Mayer: 40% Of Google Maps Usage Is Mobile (And There Are 150 Million MobileåÊUsers) {link} via @mention #SXSW $GOOG,Neutral emotion
Marissa Mayer: 40% Of Google Maps Usage Is Mobile. Surprised it isn't way north of 50% #sxsw {link},Neutral emotion
Marissa Mayer: Check-ins are fun but what do you get from them?  Thats why google is testing loyalty offers.  Watch out foursquare. #sxsw,Positive emotion
"Marissa Mayer: Google maps should have better customer service, quicker responses. #sxsw #FH",Negative emotion
Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw,Neutral emotion
Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #SXSW,Neutral emotion
Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw,Neutral emotion
Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw (via @mention,Neutral emotion
Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #sxsw {link},Neutral emotion
Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile - on.mash.to/fHDCfn #sxsw,Neutral emotion
Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile {link} #mobile #sxsw,Neutral emotion
Marissa Mayer: Google Will Connect the Digital &amp; Physical Worlds Through Mobile: {link} #google #sxsw #mobile #hotpot,Positive emotion
Marissa Mayer: Location and contextual discovery will enable mobile devices to make us more efficient.  e.g. Google Places w/Hotpot #sxsw,Positive emotion
"Marissa Mayer's preso at #sxsw was good. Big ad for Google, which is fine. She was good. I expected more. Other attendees' thoughts?",Neutral emotion
Nothing says DOUCHE CAKE like walking around with a IPAD like it's an Iphone #sxsw,Negative emotion
"Google plays down social network Circles at #SxSW {link} - FB needs a rival, even if it's just to keep them on their toes",Neutral emotion
Crowley says no hard feelings towards Google after Dodgeball experience. Says they would be good partner. #SXSW #checkins,Positive emotion
really amazing to see so many people putting up with Apple's Notes app on the iPad at #SXSW,Negative emotion
really amazing to see so many people putting up with Apple's Notes app on the iPad at #SXSW:  {link},Negative emotion
Google web fonts...pretty... #sxsw #tradeshow {link},Positive emotion
Expect mob scenes on W 6th St &amp; Congress {link} #sxsw #ipad2,Neutral emotion
Chrome Web Store: Google calls it the HTML5 Hot Tub #sxsw #steamy #hot #nerds,Positive emotion
"In #SXSW Ballroom D for @mention from @mention 
one seat reserved in the fourth row if anyone wants to join #HTXSW",Neutral emotion
Cool new band alert at #SXSW. Check out A House A Home. Google them now! {link},Neutral emotion
Miss the Battelle Interview About IPad 2 &amp;Social Media last week? Find it here [video] {link} #sxsw,Neutral emotion
Apple grabbed the tablet mindshare at #sxsw but RIM owns one of the most popular events. #foodspotting   {link} ~@mention,Neutral emotion
Apple grabbed the tablet mindshare at #sxsw but RIM owns one of the most popular events. #foodspotting #mnbuzz  {link},Positive emotion
Just got BBQ on my iPhone #sxsw,Neutral emotion
Funny to be at the PSFK session sponsored by Microsoft. All they do is to talk about Apple. #SXSW,Neutral emotion
Going to be awesome! RT @mention Gallery of original Daniel Johnston art going up at tomorrow's #GSDM + #Google industry party.  #sxsw,Neutral emotion
Going to be big if Google gets it: Using Q&amp;A Site Hipster If YouÛªre At SXSW  {link} #sxsw #tech #social,Neutral emotion
About to be interviewed by Mashable while waiting in line at the popup Apple Store at #SxSW.,Neutral emotion
@mention be sure to use our FREE App for checking out the bands at #SXSW! {link},Positive emotion
Line has been wrapped around the block all day #apple #ipad2 #sxsw,Neutral emotion
"See a member of our team carrying one of these bags at #SXSW, show them your Wolfram|App &amp; get a W|A iPhone case! {link}",Neutral emotion
"See a member of our team with this bag at #sxsw, show them your Wolfram App &amp; get a W|A case for your iPhone!  {link}",Neutral emotion
"Enjoying Berkowitz talk about RFID and NCF...impact on mobile, retail. Would you carry a NFC phone? Google bullish #sxsw ballroom E",Positive emotion
Any blackberry apps for #sxsw ?? Pls let @mention and I know...cheers...will have iphone too...:-),Neutral emotion
@mention Best thing I've heard at #SXSW &quot;I gave my iPad 2 money to #Japan relief. I don't need an iPad 2.(@mention @mention #SXSWGOOD,Negative emotion
RT globalbestaward Holler Gram for iPad on iTunes Store: {link} via @mention all you #SXSW-sters great App from #MadebyMany,Positive emotion
"The next big thing? Hmmm. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",Positive emotion
"Could be big&gt;&gt;#Google to Launch Major New #Social Network Called #Circles, Possibly Today - {link} #tech #sxsw",Neutral emotion
70% of mobile hits on Texas Tribune come from apple devices. Cor. Via Niran Babalola #sxsw,Neutral emotion
"AOL, T-Mobile Launch 'Play' Android App {link} via @mention #sxsw",Neutral emotion
Hey #nerdbird crew - grab our app and snap some freak pics! {link} #SXSW,Neutral emotion
Success! Blah panel but found an open outlet to charge up the old iPad. #SxSW #fb,Neutral emotion
Too quotable --&gt; RT ÛÏ@mention &quot;Apple is the most elegant fascist company in America.&quot; #flip-board #SXSW,Negative emotion
(-: Mashable! - The iPad 2 Takes Over SXSW [VIDEO] #ipad #sxsw #gadgets {link} {link},Neutral emotion
@mention blogging from your iPad notes the next step. Hope you are having a great time. #SXSW,Positive emotion
Will somebody write an app that lets me consistently type &quot;SHIT&quot; on my goddamn iphone? Hey #sxsw ... jump on that.,Negative emotion
"Post-Facebook Deal, #Beluga Gets A Final #SXSW Tune-Up {link} #tc #facebook #iphone",Neutral emotion
"Post-Facebook Deal, Beluga Gets A Final SXSW Tune-Up {link} #beluga #Facebook #iphone #SXSW",Neutral emotion
"Post-Facebook Deal, Beluga Gets A Final SXSW Tune-Up {link} #ButFacebook #FastSociety #iPhone #SXSW",Neutral emotion
"Post-Facebook Deal, Beluga Gets A Final SXSW Tune-Up {link} #tc #beluga #facebook #iphone #sxsw",Neutral emotion
@mention Booth 1406-1408 at #sxsw &amp; we have some great deals going on there to buy a juice pack and extend your iPhone battery life!,Neutral emotion
"My wish, both for myself &amp; for boomers: stop disabling zoom on iPhone &amp; iPad apps! #sxsw yourmom",Neutral emotion
Excited about #sxsw tomorrow! Leaving for Austin at 8am. Will see Google's @mention at 3:30pm. Still working my schedule.,Positive emotion
Talking about bar codes and their use.  Google has an open source bar code API  that can be used for other devices. #SXSW #mobile,Neutral emotion
Talking about iPad's usefulness for developers. We're not nerds at all. #sxsw,Positive emotion
We read about the Google Circles rumors today at #SXSW. What are your thoughts on it? Let us know! #LiptonSXSW {link} 18+,Neutral emotion
#iPad2 Unboxing Outside the #SXSW #Apple Store {link},Neutral emotion
#redbull bpm DJ iPad app is powering this party. #sxsw #DTas   @mention Republic Live {link},Positive emotion
"At: Left Brain Search = Google. Right Brain Search = X at SXSW.
{link} #SXSW #BetterSearch",Neutral emotion
Come Celebrate Austin with Google and GSD&amp;M at SXSW - Hotpot Blog {link} #fb #sxsw,Neutral emotion
Come celebrate w/ Charity Water tonight! (Google is throwin the party). Jump start your #sxsw week off right! studentsforcleanwater.org/rsvp,Positive emotion
@mention Brian - Actually Austin doesn't have an Apple store but there is a rumor they built a pop up one {link}  for #SXSW,Neutral emotion
Should I bring my iPad and MacBook Air OR just my Air on the #startupbus to #sxsw? #NYC,Neutral emotion
The last broadcast OR Your mom has an iPad. #SXSW,Neutral emotion
want Gun Bros for Android? want to play it on #XperiaPlay? Find me @mention for a download card #SXSW  {link},Neutral emotion
Play Gun Bros on an xperia play at Google League event and parking lot of #teamandroid event on #xperiaplay Sunday #sxsw @mention,Neutral emotion
Google Labs' Fusion Tables made Election Day Foursquare visualization possible #SXSW ^PR,Positive emotion
pubsubhubbub is an interesting way to cache some load off your web server {link} via @mention #fsw #sxsw,Neutral emotion
I'm late but finally here at #gsdm #google #SXSW great surprise to b greeted by the lovely Lindsay stillman. Gonna b a good night.,Positive emotion
"Everyone buy @mention an app for his new iPad on this day of his birth. Happy, happy. #SXSW #gsdm",Positive emotion
"Should I buy an iPad for @mention at the makeshift #sxsw Apple Store on launch day? Fuck no, I respect him too much... #wwsxsw",Negative emotion
"Everyone buying iPad 2's! I feel like a dinosaur with version, my blackberry and pc. Sxsw is like an Apple convention #sxsw",Neutral emotion
Reminded by @mention abt the value of Google Zeitgeist {link} #sxsw,Neutral emotion
"The walk by Lady Bird Lake was lovely, but Google Maps travel times are not to be trusted. #SXSW",Negative emotion
"&quot;...by the law of averages, better than Buzz&quot; RT @mention &quot;Google Circles will be ______ &quot;  #sxsw",Positive emotion
#inspiredbyprint #sxsw Oh burn. Comparing iPad's skeumorpism to magic cap and Bob.,Neutral emotion
{link} #TC #google #sxsw Marissa Mayer: 40% Of Google Maps Usage Is Mobile (And There Are 150 Million... {link},Neutral emotion
Optimistic #Ohio #SXSW. Google pay per click management.   {link},Neutral emotion
Wicked pic I got of @mention (Duncan Jones) before I got to shake his hand. #SXSW - {link},Neutral emotion
Free music on iTunes! SXSW: Featured Artists - {link} #iTunes #SXSW,Neutral emotion
"Awkward JC Penneys question asked to Marissa Mayer, apparently JC Penney locations are being re-routed to Macys in Google maps? #SXSW",Neutral emotion
The ironic tee has been usurped by the iPad 2 as the hipster/geek/start-up chic fashion item at this year's #SXSW,Positive emotion
#Cloud #VC This Post Has Nothing to do with #SXSW: 2x startup Founder &amp; CEO who has gone to the Dark Side o... {link} #TCN,Neutral emotion
woohoo! cc: @mention @mention RT @mention Apple to Open Pop-Up Shop at #SXSW [REPORT] - {link},Neutral emotion
Game logic! Agency behaviour! Monkey mind control! The Ogilvy #AUSXSW podcast from #SXSW Day One {link},Neutral emotion
"Chris Sacca Tweets Out A Fake #SXSW Beta Invite, Follower Swarm Ensues - TechCrunch: Chris Sacca Tweets O... {link} #apple",Neutral emotion
"Chris Sacca Tweets Out A Fake #SXSW Beta Invite, Follower Swarm Ensues {link}",Neutral emotion
"Chris Sacca Tweets Out A Fake #SXSW Beta Invite, Follower Swarm Ensues {link} #ipad",Neutral emotion
ipadi alacagimiz yer belli oldu:  Apple to Open Pop-Up Shop at Austin #SXSW {link} via @mention @mention,Neutral emotion
The iPad calendar = The Frankeninterface. Designed as one interface metaphor but uses another. #tapworthy #sxsw,Negative emotion
"#SXSW #macallan A formula for a successful day at SXSW - good sessions, my iPad, and a glass of MacAllan single malt. {link}",Positive emotion
I knew Localmind by @mention was a hit. It's getting huge press at #SXSW. We reviewed it earlier here: {link} #localmind,Neutral emotion
@mention Can not wait for #iPad 2 also. They should sale them down at #SXSW.,Positive emotion
"@mention can one of your shirts say #winning?! Rofl!!

#angrybirds #iPhone #iPad #SXSW",Neutral emotion
@mention Can we make you an iPhone case with TTYE on it just in time for #sxsw? We want to show our support!,Neutral emotion
"Bisotã¢ location @mention 06:10, 3/16 
Austin, TX, USA 
{link} 
#SXSW platform 2011 is killing... {link}",Neutral emotion
"Music: Location, mobile recording, meet @mention - #ios and #android updates in time for #sxsw. {link}",Positive emotion
RT NicoRiccelli: Google to Launch Major New Social Network Called Circles. {link}  #sxsw // Google denies this.,Neutral emotion
"Clear +succinct visions make for great UX (think Apple, Google, Intuit)-we've seemed to forget the 'heart' of caring/purpose #sxsw #rhjr_ux5",Neutral emotion
Open-source geo-hashing coming soon from @mention being used by @mention developers called S2 #SXSW,Neutral emotion
"LiquidSpace Launches iPhone App, Mobile Marketplace for Workspace #sxsw | @mention {link}",Neutral emotion
"#techcrunch #google Chris Sacca Tweets Out A Fake #SXSW Beta Invite, Follower Swarm Ensues: 
... {link} #facebook @mention",Neutral emotion
#techcrunch #google LaunchRock And Vencorps Want To Give $30K To The ÛÏBestÛ Startups #SXSW: L... {link} #facebook @mention,Neutral emotion
#techcrunch #google This Post Has Nothing to do with #SXSW: EditorÛªs Note: This is a guest po... {link} #facebook @mention,Neutral emotion
Saw a bunch of security guards playing with iPads at the apple store after hours last night #sxsw {link},Neutral emotion
"The lawn chair: perfect for keyboards. That's Dan's, drummer for Mist Giant #sxsw Location: {link}    {link}",Neutral emotion
#sxsw #enchantment: @mention &quot;Bright spot for Apple: Pagemaker saved Apple. I believe in God b/c no other explanation of Apple survival,Neutral emotion
"#sxsw #enchantment: @mention &quot;Do I get special treatment by Apple? No, I'm standing in line at Apple Store right with you.&quot;",Neutral emotion
#sxsw #enchantment: @mention &quot;Early Apple days: Any flight over 2h qualifies for 1st class.&quot; &quot;When does 2h start? When leaving apt&quot;,Neutral emotion
"#sxsw #enchantment: @mention &quot;It's like saying, please don't register. Just go to Google.&quot;  Hahah",Neutral emotion
#sxsw #enchantment: @mention &quot;No one uses Windows voluntarily.&quot; &quot;Apple is greatest collection of egomaniacs in history.&quot; haha,Negative emotion
"#sxsw #enchantment: @mention &quot;Sell your dream. Steve Jobs doesn't say: iPhone is $188 of parts+AT&amp;T, made by ppl in suicidal Chinese",Negative emotion
#sxsw #enchantment: @mention &quot;Wouldn't let Apple II people in our building [where they were building Macs]&quot;,Neutral emotion
My Apple Charger Lanyard hack is getting rave reviews! :-) #MonksOfInvention #SxSW {link},Neutral emotion
@mention check into some of the new chatting/texting startups that are coming out of #SXSW {link} (re:iphone chat client),Neutral emotion
@mention check it. RT @mention #SXSW FREE App Festival Explorer: find the bands you want to see from your music tastes {link},Positive emotion
@mention check out @mention awesome dj skills on the iPad while u are at #SXSW,Positive emotion
"@mention Check out 2011 South by Southwest Interactive iPhone/iPad Must-have Apps, sites and tools by @mention {link} #SXSW",Positive emotion
"@mention Check out a bunch of #free #atx on the @mention Unofficial #SXSW events list, here or for iPhone/Android: {link}",Neutral emotion
"@mention check out GoogleTV to iPad Apps: The Connected TV Experience
{link} #SXSW #ConnectedTV",Neutral emotion
@mention check out our #eventseekr app launching at #sxsw keep updated on parties. Android: {link} iPhone app on its way,Positive emotion
"@mention check out Smyle (for #Android and the web). Has group chat, shared location and media, and whiteboarding. Thanks. #SXSW #app",Positive emotion
About to check out &quot;mistakes I made building Netflix for iPhone.&quot; this is going to be cool -you should always learn from mistakes. #sxsw,Positive emotion
@mention Check the latest stream at Apple's store at #SXSW {link} . ipad2 here I come. #PLAYSXSW,Positive emotion
@mention Check the latest stream at Apple's store at #SXSW {link} . iPad2 wait for me  #PLAYSXSW,Positive emotion
@mention check the photo feed from Apple store #SXSW  {link} thanks to @mention @mention @mention.,Neutral emotion
"Just launched the pop-up Apple Store at #SXSW. It's our &quot;vintage&quot; store format: Mostly iPods and snarky employees. Ah, the good old days.",Negative emotion
#saveustechies panel at #sxsw getting off to a great start with a video on the surui carbon project by google {link},Positive emotion
Apple's Schiller: White iPhone will debut in spring: Don't they also try to sell you faster speed cable? #SXSW m... {link},Neutral emotion
"Best tsotchke at #SxSW so farÛÓmy iPhone was almost out of power and PowerMat gave me a free, fully charged battery: {link}",Neutral emotion
"Stupid technology! You always fail at important times! At #SXSW w/ an iPhone, laptop AND Blackberry and the only thing working is my pen.",Negative emotion
congrats chris! RT @mention #SXSW Interactive Award: Music Category to &quot;Wilderness Downtown&quot; @mention @mention @mentione,Neutral emotion
"Anna's Social Media Picks of the Week (03/11/11) {link} covering social media and Japan, The iPad 2, #SXSW and more...",Neutral emotion
Google Social Media RT @mention We interrupt your regularly scheduled #sxsw geek programming with big news {link},Neutral emotion
Google Social Network: Circles   coming today at #sxsw? {link},Neutral emotion
It's official: everyone at #sxsw uses an iphone.,Neutral emotion
It's official: people using the iPad 2 to take photos just look weird. #SXSW,Negative emotion
It's official: We'll be presenting #Filmaster for #iPhone in the contest of world's best mobile apps at #SXSW !!! {link},Positive emotion
It's Official! An Apple Store has popped up at #SXSW  {link},Neutral emotion
It's official! I'm buying an iPad. #SXSW #elevate,Positive emotion
#google #circles #sxsw #shice /via @mention {link},Neutral emotion
#Google #Circles reveal at that joint session with ACLU tonight? This video doesn't make me think so. {link} #sxsw @mention,Neutral emotion
#Google #Circles.. Google's latest Social venture Google Circles reportedly won't be launched at #SXSW today - {link},Neutral emotion
&quot;Narcissism &amp; challenge of FB Pages&quot; {link} coupled w/ &quot;Google's Spam Problem&quot; {link} explain Circles &quot;a bit&quot;. #sxsw,Neutral emotion
Pretty excited about the Apple Pop Up Store coming to #SXSW {link},Positive emotion
Pretty excited for @mention iPad session #uxdes #sxsw,Positive emotion
Pretty excited for my iPhone to stop working #sxsw #AT&amp;T,Negative emotion
really excited for my first panel!  #tapworthy iPad Design Headaches  Should be awesome.  the book is!  #sxsw #gsdm,Neutral emotion
"Really excited to see the documentary Something Ventured at #sxsw today. About the rise of Intel, Apple, Genentech, Cisco, &amp; Atari.",Neutral emotion
We are excited to see HLS Dynamic Video Ad Insertion for TV Everywhere working on the #iPad2 later today at the #SXSW PopUp Apple Store,Positive emotion
FedEx truck unloading outside Apple popup store. #sxsw #ipad2,Neutral emotion
#iPad2 rocks #SXSW (@mention Apple POP UP Store) {link},Positive emotion
FedEx Trucks keep arriving as TV crews interview people in line for first iPad2 at #SXSW PopUp Apple Store.  {link},Neutral emotion
"#SXSW #Rackspace Startup Program, Cloud 2.0 iPad App Launched {link} #seo #sem #cloudcomputing #topnews",Neutral emotion
"SXSW ÛÒ Rackspace Startup Program, Cloud 2.0 iPad App Launched {link} #Rackspace #sxsw #Top_News",Neutral emotion
"This is ackward. Sitting in the back of Ballroom F at the ACC, looking to my left and right: I'm the only non-Macbook / iPad here. Oh. #sxsw",Neutral emotion
Theres a class war forming here at #sxsw. iPad 2 owners vs. first gen owners.,Neutral emotion
"Time for coffee, muffins and news reading with leNewz at #SXSW trade show (booth #1422 just behind Google's)",Neutral emotion
@mention come by tomorrow to get your iPhone case! #zazzlesxsw #Sxsw #Zazzle #sxswi {link},Neutral emotion
"After... Come visit Milyoni we are at Booth, 1223 right under the big Google sign at #SXSW {link}",Neutral emotion
My first computer as a kid was an Atari 800; my kids first computer will be an iPad.  What will they be able to do that I couldn't? #sxsw,Positive emotion
.crowdbeacon has put together a guide to #sxsw at {link} The latest update to their iPhone app is going to be sick.,Positive emotion
"On its second day in business, the Apple pop-up store appears to be trending. #sxsw #vb (@mention Apple Store, SXSW) [pic]: {link}",Positive emotion
At #SXSW conf and 1 out of every 200 people have a Mac or Ipad (including me).  What happened to the PC? Is it becoming obsolete?,Neutral emotion
At #SXSW conf and EVERYONE has a Mac or Ipad (including me). What happened to the PC? Is it becoming obsolete?,Positive emotion
@mention congrats on the first iPad 2 at #sxsw,Positive emotion
@mention Congrats on your iPhone app being featured at #SXSW!,Positive emotion
@mention Congratulations on winning the Android award! :) #sxsw,Positive emotion
"@mention congratulations, sent from Seesmic on my Android phone, at #SXSW!",Positive emotion
